JobID,Network Id,Existing 035a,Incoming 035a,Action
CEF_1012688_1748084545832::bib::895636,994283742805151,7930325,7930325,match
CEF_1012688_1748084545832::bib::898663,991585665705151,184906112,184906112,field transfer
CEF_1012688_1748084545832::bib::899767,992849232205151,1044183523,1113752459,match
CEF_1012688_1748084545832::bib::900796,992058010505151,12557378,12557378,match
CEF_1012688_1748084545832::bib::902146,991605729705151,191732526,191732526,match
CEF_1012688_1748084545832::bib::903492,991915225205151,5584317,5584317,match
CEF_1012688_1748084545832::bib::905263,992517621505151,170971961,170971961,match
CEF_1012688_1748084545832::bib::906648,991820538205151,190964816,190964816,match
CEF_1012688_1748084545832::bib::907498,992885104105151,24368072,24368072,match
CEF_1012688_1748084545832::bib::908196,992310670205151,5706472,5706472,match
CEF_1012688_1748084545832::bib::911184,992861763605151,11986445,11986445,match
CEF_1012688_1748084545832::bib::912690,994282552205151,78259826,78259826,match
CEF_1012688_1748084545832::bib::914110,991623517405151,180080621,180080621,match
CEF_1012688_1748084545832::bib::915141,992860573505151,10853767,10853767,match
CEF_1012688_1748084545832::bib::918942,994153377905151,16981209,16981209,match
CEF_1012688_1748084545832::bib::919793,992344482605151,27221402,27221402,match
CEF_1012688_1748084545832::bib::920783,992234935705151,13009956,13009956,match
CEF_1012688_1748084545832::bib::921939,992883996805151,775387,775387,match
CEF_1012688_1748084545832::bib::923986,992885100805151,12216692,12216692,match
CEF_1012688_1748084545832::bib::924758,991681424505151,12724652,12724652,match
CEF_1012688_1748084545832::bib::926576,991933053905151,198523804,198523804,match
CEF_1012688_1748084545832::bib::927886,992130257005151,12217306,12217306,match
CEF_1012688_1748084545832::bib::929301,992355129805151,81252669,81252669,match
CEF_1012688_1748084545832::bib::931743,992864820305151,1044150260,1044150260,match
CEF_1012688_1748084545832::bib::932954,992879031305151,33405972,33405972,match
CEF_1012688_1748084545832::bib::93428,994538622005151,37870577,37870577,match
CEF_1012688_1748084545832::bib::936207,993986865005151,191239636,191239636,match
CEF_1012688_1748084545832::bib::937961,992851831405151,1044167193,1056461269,match
CEF_1012688_1748084545832::bib::939509,991898536905151,1017512194,14240185,match
CEF_1012688_1748084545832::bib::941623,994282624005151,9998696,9998696,match
CEF_1012688_1748084545832::bib::947921,994436436005151,10323218,10323218,match
CEF_1012688_1748084545832::bib::950248,994279930105151,70435899,70435899,match
CEF_1012688_1748084545832::bib::951476,992857097605151,1044031265,1044031265,match
CEF_1012688_1748084545832::bib::953772,991520331505151,123418087,123418087,match
CEF_1012688_1748084545832::bib::955564,991878104105151,65765756,65765756,match
CEF_1012688_1748084545832::bib::956698,992879365105151,1043999717,1043999717,match
CEF_1012688_1748084545832::bib::957955,991518171405151,10206800,10206800,match
CEF_1012688_1748084545832::bib::959359,992350986505151,49594480,49594480,match
CEF_1012688_1748084545832::bib::960002,992877340905151,11441317,11441317,match
CEF_1012688_1748084545832::bib::961175,991658609705151,12551196,12551196,match
CEF_1012688_1748084545832::bib::964508,992479325805151,7885347,7885347,match
CEF_1012688_1748084545832::bib::966479,992876140405151,144770782,144770782,match
CEF_1012688_1748084545832::bib::970439,994153374905151,12575354,12575354,match
CEF_1012688_1748084545832::bib::973765,994283038305151,9196594,9196594,match
CEF_1012688_1748084545832::bib::974741,992849498205151,1021296516,1021296516,match
CEF_1012688_1748084545832::bib::975612,991946861805151,10876775,10876775,match
CEF_1012688_1748084545832::bib::977853,992209810105151,456362718,1056333028,match
CEF_1012688_1748084545832::bib::979866,991980229805151,82672072,82672072,match
CEF_1012688_1748084545832::bib::980891,991814634405151,15417598,15417598,match
CEF_1012688_1748084545832::bib::981776,992088471205151,19455792,19455792,match
CEF_1012688_1748084545832::bib::982830,991905511905151,12549548,12549548,match
CEF_1012688_1748084545832::bib::983808,992070770205151,56631257,56631257,match
CEF_1012688_1748084545832::bib::984793,992860615905151,69734600,69734600,match
CEF_1012688_1748084545832::bib::986014,991883260505151,141842141,141842141,match
CEF_1012688_1748084545832::bib::987101,991447428005151,13056646,13056646,match
CEF_1012688_1748084545832::bib::988188,992218599505151,6356905,6356905,match
CEF_1012688_1748084545832::bib::989767,992494795505151,65207114,65207114,match
CEF_1012688_1748084545832::bib::991104,991867508705151,11971787,11971787,match
CEF_1012688_1748084545832::bib::993547,994282863105151,25899002,25899002,match
CEF_1012688_1748084545832::bib::9962,994538322105151,1443008716,1443008716,match
UWO_1012743_1748081412178::bib::1000326,992042552005151,1413059,1413059,match
UWO_1012743_1748081412178::bib::1001455,992131966305151,21090220,21090220,match
UWO_1012743_1748081412178::bib::1002568,991917992705151,8404097,8404097,match
UWO_1012743_1748081412178::bib::1003790,992355435405151,1069277651,1069277651,match
UWO_1012743_1748081412178::bib::1004881,991611485605151,977033567,977033567,match
UWO_1012743_1748081412178::bib::1005760,991820566805151,2527968,2527968,match
UWO_1012743_1748081412178::bib::100639,994536916705151,1438663676,1438663676,match
UWO_1012743_1748081412178::bib::1006887,991500616805151,1105242862,1105242862,match
UWO_1012743_1748081412178::bib::1008455,992256168105151,38431336,38431336,match
UWO_1012743_1748081412178::bib::1012588,992163411205151,767567,767567,match
UWO_1012743_1748081412178::bib::1013575,991616519105151,451642,451642,match
UWO_1012743_1748081412178::bib::1014734,992146958505151,7064878,7064878,match
UWO_1012743_1748081412178::bib::1015802,991572781005151,14017964,14017964,match
UWO_1012743_1748081412178::bib::1016901,991932897105151,6999175,6999175,match
UWO_1012743_1748081412178::bib::1018034,991603081705151,6806218,6806218,match
UWO_1012743_1748081412178::bib::1019845,991945583605151,3207588,3207588,match
